aren't|are not
can't|cannot
Can't|Cannot
could've|could have
couldn't|could not
Couldn't|Could not
didn't|did not
Didn't|Did not
doesn't|does not
Doesn't|Does not
don't|do not
Don't|Do not
gonna|going to
gotta|got to
hadn't|had not
hasn't|has not
haven't|have not
he'll|he will
He'll|He will
how'll|how will
How'll|How will
I'd|I would
I'll|I will
I'm|I am
I've|I have
Isn't|Is not
isn't|is not
it'd|it would
It'd|It would
it'll|it will
It'll|It will
it's|it is
It's|It is
let's|let us
Let's|Let us
mightn't|might not
might've|might have
mustn't|must not
must've|must have
needn't|need not
oughtn't|ought not
shant|shall not
she'll|she will
She'll|She will
should've|should have
should of|should have
shouldn't|should not
that'll|that will
That'll|That will
there're|there are
There're|There are
these're|these are
These're|These are
they'll|they will
They'll|They will
they're|they are
They're|They are
they've|they have
They've|They have
those're|those are
Those're|Those are
wasn't|was not
Wasn't|Was not
we'll|we will
We'll|We will
we're|we are
We're|We are
we've|we have
We've|we have
weren't|were not
what'd|what did
what'll|what will
what're|what are
what've|what have
where'd|where did
where've|where have
who'll|who will
Who'll|Who will
who're|who are
Who're|Who are
who've|who have
Who've|Who have
why'd|why did
Why'd|Why did
why're|why are
Why're|Why are
wont|will not
Wont|Will not
won't|will not
Won't|Will not
would've|would have
wouldn't|would not
ya'll|you all
you'll|you will
You'll|You will
you're|you are
You're|You are
you've|you have
You've|You have
